school,q,psbt,pst,dev_q,dev_psbt,dev_pst,errrho
t11_10_1,0.9,0.0,0.75,0.025,0.05,0.05,0.002370816512332701
t11_10_2,0.95,0.5,0.55,0.0375,0.05,0.05,0.04508409841610976
t11_10_3,0.9392857143,0.4428571429,0.55,0.04375,0.425,0.1,0.07576818231506233
t11_10_4,0.9375,0.675,0.5416666667,0.04375,0.5,0.125,0.010372590365106573
t11_9_1,0.75,0.15,1.0,0.05,0.05,0.05,0.006072427689564934
t11_9_2,0.8666666667,0.35,0.6833333333,0.08125,0.45,0.2,0.0038038323275053007
t11_9_3,0.9375,0.375,0.6,0.04375,0.075,0.05,0.05390045687627103
t11_9_4,0.9,0.75,0.55,0.025,0.05,0.05,0.0016318038209633008
t11_8_1,0.9375,0.75,0.625,0.04375,0.1,0.075,0.003819485517107698
t11_8_2,0.75,0.2,0.95,0.05,0.05,0.05,0.016751395564939812
t11_8_3,0.75,0.85,0.475,0.1,0.2,0.125,0.012536744669882189
t11_8_4,0.25,0.85,0.75,0.05,0.05,0.05,0.005302646387729011
t11_7,0.9,0.275,0.65,0.0625,0.225,0.1,0.019013871868076036
t11_6,0.7375,0.35,0.875,0.0375,0.1,0.075,0.002635515758138676
t11_5_1,0.825,0.225,0.75,0.075,0.225,0.15,0.008856797824392025
t11_5_2,0.9,0.3166666667,0.6166666667,0.05,0.175,0.075,0.0027117679443669765
t11_5_3,0.925,0.6,0.55,0.025,0.05,0.05,0.023725683654997123
t11_5_4,0.7666666667,0.1833333333,0.85,0.0375,0.3,0.225,0.002127064622075623
t11_4_1,0.6,0.125,0.875,0.1,0.125,0.175,0.002143307429164118
t11_4_2,0.7,0.75,0.4875,0.05,0.125,0.1,0.0035679039907683596
t11_4_3,0.0733333333,0.7,0.4866666667,0.15,0.15,0.5,0.04064077259827223
t11_4_4,0.4,0.75,0.4,0.05,0.05,0.05,0.005288136149489789
t11_3_1,0.95,0.625,0.525,0.0375,0.275,0.075,0.0833075762746309
t11_3_2,0.9,0.75,0.5,0.025,0.05,0.05,0.013335161346854236
t11_2_1,0.775,0.2,1.0,0.025,0.05,0.05,0.0005458427989395416
t11_2_2,0.95,0.3,0.575,0.0375,0.25,0.075,0.020968325672504583
t11_2_3,0.875,0.3,0.65,0.025,0.05,0.05,0.006634923717880583
t11_2_4,0.95,1.0,0.5,0.0375,0.05,0.05,0.009567083797658605
t11_1_1,0.77,0.07,0.89,0.0375,0.15,0.15,0.006411564906506139
t11_1_2,0.925,0.6,0.55,0.025,0.05,0.05,0.007878247599706458
t1,0.925,0.45,0.6,0.025,0.05,0.05,0.018275937345898663
t2,0.825,0.15,0.85,0.075,0.05,0.1,0.0034468170316127684
t6,0.7833333333,0.4333333333,0.7,0.075,0.2,0.125,0.009100019758292284
