school,q,psbt,pst,dev_q,dev_psbt,dev_pst,err20
t11_10_1,0.925,0.5,0.65,0.025,0.05,0.05,0.00029121734990051126
t11_10_2,0.8875,0.3,0.75,0.0375,0.1,0.05,0.004877019815187151
t11_10_3,0.875,0.95,0.45,0.025,0.05,0.05,0.002221763725147124
t11_10_4,0.825,0.95,0.55,0.025,0.05,0.05,0.0007961646458149479
t11_9_1,0.5333333333,0.7,0.85,0.2375,0.125,0.125,0.003948752884033188
t11_9_2,0.8,1.0,0.5,0.025,0.05,0.05,0.0007657740172504783
t11_9_3,0.9,0.45,0.65,0.025,0.05,0.05,0.0012303520436168427
t11_9_4,0.9,0.75,0.55,0.025,0.05,0.05,0.0016318038209633008
t11_8_1,0.875,0.4,0.75,0.025,0.05,0.05,0.0012569830383050047
t11_8_2,0.7,0.85,0.65,0.05,0.05,0.05,0.006433027150929878
t11_8_3,0.85,0.75,0.7,0.05,0.05,0.05,0.005674493233375834
t11_8_4,0.4,0.85,0.85,0.05,0.05,0.05,0.000785802702222953
t11_7,0.65,0.7,0.6,0.05,0.3,0.3,0.004130684738088297
t11_6,0.625,0.85,0.55,0.025,0.05,0.05,0.00015478614919967688
t11_5_1,0.8,0.85,0.6,0.05,0.05,0.05,0.0005284166423712751
t11_5_2,0.9,0.3166666667,0.6166666667,0.05,0.175,0.075,0.0027117679443669765
t11_5_3,0.8375,0.55,0.65,0.08125,0.25,0.1,0.0019730344000879374
t11_5_4,0.75,1.0,0.4,0.025,0.05,0.05,0.00016891111258956324
t11_4_1,0.6,0.125,0.875,0.1,0.125,0.175,0.002143307429164118
t11_4_2,0.8,0.0,0.9,0.075,0.05,0.05,0.0012996392167874543
t11_4_3,0.9,0.4,0.7,0.1,0.075,0.05,0.0026474090557264116
t11_4_4,0.35,0.675,0.7,0.1,0.125,0.35,0.00528311338222014
t11_3_1,0.925,0.6,0.7,0.025,0.05,0.05,0.0016122925346352829
t11_3_2,0.85,0.75,0.65,0.025,0.05,0.05,0.0003114257044415251
t11_2_1,0.85,0.5,0.75,0.025,0.05,0.05,0.00012522890000390112
t11_2_2,0.95,0.3,0.7,0.0375,0.05,0.05,0.0016000841224852436
t11_2_3,0.775,0.7,0.65,0.025,0.05,0.05,0.0010474256893962628
t11_2_4,0.95,0.3,0.6,0.0375,0.05,0.05,0.0028689478839095954
t11_1_1,0.825,0.7,0.7,0.025,0.05,0.05,0.0004495064763622099
t11_1_2,0.825,0.2,0.85,0.025,0.05,0.05,0.0005804461867547079
t1,0.8875,0.475,0.625,0.0625,0.225,0.075,0.00440834820263777
t2,0.8,0.9,0.5,0.05,0.05,0.05,0.0005000399046873806
t6,0.75,0.95,0.5,0.05,0.05,0.05,0.001872552765198155
